course_id,title,difficulty,duration_weeks,domain,format,platform,description,learning_objectives,instructor_expertise,interactive_features,cost,rating
C001,Introduction to Python Programming,Beginner,4,Programming,Self-paced,Coursera,Learn Python basics for data science and web development,Basic syntax variables functions loops,Expert instructor with 10+ years,Quizzes Forums Live Sessions,Free,4.5
C002,Advanced Machine Learning,Advanced,12,Data Science,Instructor-led,Udemy,Deep dive into ML algorithms and neural networks,ML algorithms neural networks deployment,PhD in ML with industry experience,Projects Assignments Peer Review,Paid,4.7
C003,Web Development Bootcamp,Intermediate,8,Web Development,Blended,edX,Full-stack web development with modern frameworks,HTML CSS JavaScript React Node.js,Full-stack developer 15+ years,Hands-on projects Code reviews,Paid,4.6
C004,Data Structures and Algorithms,Intermediate,10,Computer Science,Self-paced,Udacity,Master DSA for coding interviews,Arrays Trees Graphs Dynamic Programming,Senior engineer at tech giant,Interactive coding challenges,Paid,4.8
C005,Digital Marketing Fundamentals,Beginner,6,Marketing,Instructor-led,Skillshare,Learn SEO social media and content marketing,SEO SEM Social Media Analytics,Marketing professional 8+ years,Case studies Group discussions,Free,4.3
C006,Cloud Computing with AWS,Intermediate,8,Cloud Computing,Self-paced,Coursera,AWS services architecture and deployment,EC2 S3 Lambda CloudFormation,AWS certified solutions architect,Labs Sandbox environment,Paid,4.5
C007,Business Analytics and Visualization,Beginner,5,Business Intelligence,Blended,edX,Data visualization with Tableau and Power BI,Tableau Power BI Data storytelling,BI consultant 12+ years,Real-world datasets Projects,Paid,4.4
C008,Mobile App Development,Intermediate,10,Mobile Development,Instructor-led,Udemy,Build iOS and Android apps,Swift Kotlin React Native,Mobile dev lead at startup,App projects Peer feedback,Paid,4.6
C009,Cybersecurity Fundamentals,Beginner,6,Cybersecurity,Self-paced,Google Digital Garage,Introduction to network security and ethical hacking,Network security Encryption Penetration testing,Certified ethical hacker,Virtual labs Simulations,Free,4.7
C010,Project Management Professional,Advanced,12,Project Management,Instructor-led,Coursera,PMP exam preparation and best practices,Agile Scrum Risk management,PMP certified with 20+ years,Case studies Mock exams,Paid,4.8
C011,UI/UX Design Principles,Beginner,5,Design,Self-paced,Skillshare,User interface and experience design fundamentals,Design thinking Wireframing Prototyping,Senior UX designer at agency,Design challenges Critiques,Free,4.5
C012,Blockchain and Cryptocurrency,Advanced,10,Blockchain,Blended,Udacity,Decentralized applications and smart contracts,Blockchain Ethereum Solidity DApps,Blockchain architect,Coding projects Network setup,Paid,4.6
C013,Statistics for Data Science,Intermediate,8,Statistics,Self-paced,edX,Statistical methods for data analysis,Hypothesis testing Regression ANOVA,PhD in Statistics,R and Python exercises,Paid,4.7
C014,Content Writing Masterclass,Beginner,4,Writing,Instructor-led,Skillshare,Professional content writing and copywriting,SEO writing Storytelling Copywriting,Published author and content strategist,Writing assignments Peer review,Free,4.4
C015,DevOps Engineering,Advanced,12,DevOps,Blended,Udemy,CI/CD infrastructure as code and automation,Docker Kubernetes Jenkins Terraform,DevOps lead at enterprise,Hands-on labs Real infrastructure,Paid,4.8
C016,Financial Modeling,Intermediate,8,Finance,Self-paced,Coursera,Excel financial modeling for business decisions,DCF models Valuation Financial statements,Investment banker 15+ years,Excel templates Case studies,Paid,4.5
C017,Artificial Intelligence Ethics,Beginner,3,AI Ethics,Instructor-led,FutureLearn,Ethical considerations in AI development,AI bias Fairness Transparency,AI ethics researcher,Debates Case discussions,Free,4.3
C018,SQL for Data Analysis,Beginner,5,Database,Self-paced,Udemy,Database querying and data manipulation,SQL queries Joins Subqueries,Database administrator 10+ years,Interactive SQL exercises,Paid,4.6
C019,Leadership and Management,Intermediate,6,Leadership,Blended,edX,Leadership skills for team management,Leadership styles Motivation Conflict resolution,Executive coach,Role-playing Group activities,Paid,4.5
C020,Game Development with Unity,Intermediate,10,Game Development,Instructor-led,Udacity,Create 2D and 3D games with Unity,Unity C# Game mechanics,Game developer at studio,Game projects Playtesting,Paid,4.7
C021,Photography Basics,Beginner,4,Photography,Self-paced,Skillshare,DSLR camera fundamentals and composition,Exposure Composition Lighting,Professional photographer,Photo assignments Critiques,Free,4.4
C022,Natural Language Processing,Advanced,12,NLP,Blended,Coursera,Text processing and language models,Tokenization Word embeddings Transformers,NLP researcher,Coding projects Research papers,Paid,4.8
C023,Excel for Business,Beginner,5,Business,Self-paced,Udemy,Advanced Excel techniques for professionals,Formulas PivotTables VBA,Business analyst 12+ years,Practice workbooks,Paid,4.5
C024,Public Speaking,Beginner,3,Communication,Instructor-led,Skillshare,Confident public speaking and presentation,Speech structure Delivery Body language,TED speaker and coach,Video presentations Feedback,Free,4.6
C025,Computer Vision,Advanced,10,Computer Vision,Blended,edX,Image processing and object detection,CNNs Object detection Image segmentation,Computer vision engineer,Projects Model training,Paid,4.7
